NAME E N h std_abs_e std_abs_n std_abs_h std_rel_e std_rel_n std_rel_h
I35 657741.20092 6860680.34991 114.10634 0.0012884 0.0018069 0.0052594 0.0001890 0.0001737 0.0001125
C35 657741.19430 6860680.30446 114.10603 0.0012980 0.0018080 0.0052603 0.0002455 0.0001849 0.0001466
I01 657741.02178 6860679.21065 114.66435 0.0012886 0.0018058 0.0052595 0.0001805 0.0001594 0.0001160
C01 657741.01396 6860679.16569 114.66334 0.0012976 0.0018071 0.0052602 0.0002360 0.0001726 0.0001451
C02 657741.00106 6860679.06522 113.20490 0.0012984 0.0018070 0.0052603 0.0002391 0.0001720 0.0001466
I02 657741.00794 6860679.11067 113.20557 0.0012874 0.0018058 0.0052594 0.0001721 0.0001585 0.0001130
I03 657740.94475 6860678.71844 114.43431 0.0012894 0.0018057 0.0052595 0.0001836 0.0001559 0.0001153
C03 657740.93775 6860678.67305 114.43430 0.0012984 0.0018069 0.0052602 0.0002374 0.0001692 0.0001440
C04 657740.86667 6860678.21224 113.47496 0.0012934 0.0018068 0.0052601 0.0002066 0.0001672 0.0001426
I04 657740.87309 6860678.25777 113.47545 0.0012871 0.0018054 0.0052594 0.0001638 0.0001519 0.0001120
I05 657740.81631 6860677.89358 114.58193 0.0012887 0.0018054 0.0052594 0.0001725 0.0001501 0.0001121
C05 657740.80933 6860677.84819 114.58116 0.0013026 0.0018064 0.0052600 0.0002546 0.0001619 0.0001383
C06 657740.76203 6860677.52614 113.19710 0.0012983 0.0018066 0.0052602 0.0002306 0.0001623 0.0001444
I06 657740.76923 6860677.57149 113.19778 0.0012881 0.0018054 0.0052595 0.0001649 0.0001491 0.0001153
I07 657740.68982 6860677.07901 113.74116 0.0012867 0.0018054 0.0052594 0.0001508 0.0001468 0.0001126
C07 657740.68269 6860677.03362 113.74111 0.0012922 0.0018065 0.0052599 0.0001915 0.0001598 0.0001352
C08 657740.59619 6860676.48406 113.21841 0.0012923 0.0018064 0.0052600 0.0001890 0.0001576 0.0001357
I08 657740.60315 6860676.52950 113.21824 0.0012868 0.0018053 0.0052594 0.0001480 0.0001446 0.0001127
I09 657740.54987 6860676.20894 114.55717 0.0012869 0.0018053 0.0052594 0.0001466 0.0001434 0.0001120
C09 657740.54256 6860676.16354 114.55772 0.0012923 0.0018064 0.0052599 0.0001876 0.0001564 0.0001342
C10 657740.47033 6860675.70620 114.14260 0.0012924 0.0018064 0.0052599 0.0001860 0.0001549 0.0001334
I10 657740.47769 6860675.75157 114.14279 0.0012870 0.0018053 0.0052594 0.0001448 0.0001419 0.0001116
I11 657740.41641 6860675.34040 113.22374 0.0012887 0.0018053 0.0052594 0.0001549 0.0001406 0.0001140
C11 657740.40955 6860675.29495 113.22289 0.0012996 0.0018064 0.0052601 0.0002271 0.0001544 0.0001424
C12 657740.32937 6860674.81667 114.67490 0.0013001 0.0018065 0.0052601 0.0002282 0.0001532 0.0001407
I12 657740.33563 6860674.86220 114.67519 0.0012871 0.0018053 0.0052593 0.0001398 0.0001393 0.0001100
C15 657740.22647 6860673.80743 114.27797 0.0012956 0.0018124 0.0052602 0.0001969 0.0002103 0.0001463
C16 657740.23240 6860673.80875 112.97040 0.0012953 0.0018121 0.0052604 0.0001949 0.0002078 0.0001533
I17 657740.15641 6860673.69484 114.49191 0.0012878 0.0018054 0.0052593 0.0001383 0.0001389 0.0001102
C17 657740.14908 6860673.64954 114.49192 0.0012916 0.0018066 0.0052598 0.0001690 0.0001536 0.0001304
C18 657740.15267 6860673.64782 113.09085 0.0013028 0.0018072 0.0052605 0.0002383 0.0001597 0.0001539
I18 657740.16030 6860673.69312 113.09081 0.0012887 0.0018056 0.0052594 0.0001449 0.0001402 0.0001130
I33 657742.40372 6860676.33506 115.90581 0.0012891 0.0018058 0.0052594 0.0001622 0.0001557 0.0001147
C33 657742.39698 6860676.28966 115.90591 0.0012972 0.0018070 0.0052602 0.0002163 0.0001689 0.0001433
C34 657742.63062 6860677.08735 116.35160 0.0012971 0.0018072 0.0052603 0.0002193 0.0001739 0.0001469
I34 657742.63826 6860677.13263 116.35201 0.0012893 0.0018062 0.0052595 0.0001673 0.0001626 0.0001174
I13 657740.36655 6860674.76068 114.27487 0.0012883 0.0018061 0.0052593 0.0001509 0.0001473 0.0001102
C13 657740.41189 6860674.75348 114.27609 0.0012916 0.0018102 0.0052599 0.0001767 0.0001904 0.0001334
C14 657740.41649 6860674.75405 113.06471 0.0012926 0.0018102 0.0052603 0.0001841 0.0001907 0.0001477
I14 657740.37106 6860674.76073 113.06327 0.0012888 0.0018062 0.0052594 0.0001556 0.0001481 0.0001142
I31 657744.02303 6860675.85656 116.03947 0.0012878 0.0018084 0.0052595 0.0001538 0.0001783 0.0001167
C31 657744.06847 6860675.85008 116.03972 0.0012899 0.0018112 0.0052601 0.0001698 0.0002051 0.0001422
C32 657742.78211 6860676.14453 116.38416 0.0012888 0.0018108 0.0052602 0.0001646 0.0001980 0.0001433
I32 657742.73688 6860676.15202 116.38430 0.0012868 0.0018074 0.0052595 0.0001485 0.0001650 0.0001170
I19 657740.26785 6860673.52029 114.45549 0.0012872 0.0018059 0.0052593 0.0001357 0.0001418 0.0001096
I21 657740.85553 6860673.42836 113.63458 0.0012876 0.0018062 0.0052594 0.0001379 0.0001466 0.0001114
I22 657741.45292 6860673.33740 114.70005 0.0012880 0.0018064 0.0052594 0.0001402 0.0001505 0.0001114
I23 657741.92982 6860673.26416 114.10398 0.0012883 0.0018065 0.0052593 0.0001420 0.0001524 0.0001101
I25 657743.01394 6860673.09863 114.70863 0.0012890 0.0018070 0.0052594 0.0001467 0.0001618 0.0001118
I26 657743.52856 6860673.01885 114.06774 0.0012894 0.0018072 0.0052594 0.0001491 0.0001657 0.0001118
I27 657744.30613 6860672.89740 113.13984 0.0012899 0.0018075 0.0052594 0.0001523 0.0001716 0.0001134
I28 657744.27585 6860672.90668 114.73856 0.0012899 0.0018075 0.0052594 0.0001524 0.0001714 0.0001123
C19 657740.31316 6860673.51312 114.45668 0.0012894 0.0018091 0.0052599 0.0001545 0.0001773 0.0001348
C22 657741.49816 6860673.32991 114.70075 0.0012902 0.0018094 0.0052599 0.0001589 0.0001828 0.0001357
C23 657741.97514 6860673.25703 114.10430 0.0012902 0.0018088 0.0052598 0.0001584 0.0001776 0.0001314
C26 657743.57408 6860673.01222 114.06804 0.0012913 0.0018093 0.0052598 0.0001644 0.0001869 0.0001317
C27 657744.35170 6860672.89127 113.13974 0.0012917 0.0018095 0.0052599 0.0001668 0.0001919 0.0001340
C28 657744.32130 6860672.89977 114.73890 0.0012917 0.0018095 0.0052599 0.0001672 0.0001919 0.0001322
I20 657740.28009 6860673.51919 113.06632 0.0012873 0.0018059 0.0052594 0.0001364 0.0001419 0.0001124
I24 657742.39688 6860673.19242 113.07859 0.0012886 0.0018070 0.0052594 0.0001441 0.0001604 0.0001147
I29 657745.96503 6860674.43956 115.06726 0.0012899 0.0018101 0.0052595 0.0001609 0.0002017 0.0001186
I30 657745.94514 6860674.44196 113.18633 0.0012898 0.0018101 0.0052595 0.0001608 0.0002015 0.0001194
C20 657740.32545 6860673.51213 113.06576 0.0012897 0.0018090 0.0052601 0.0001571 0.0001765 0.0001416
C21 657740.90089 6860673.42144 113.63513 0.0012899 0.0018093 0.0052600 0.0001580 0.0001808 0.0001392
C25 657743.05924 6860673.09120 114.70888 0.0012910 0.0018101 0.0052600 0.0001632 0.0001937 0.0001376
C29 657746.01036 6860674.43181 115.06673 0.0012915 0.0018183 0.0052603 0.0001736 0.0002650 0.0001486
C30 657745.99015 6860674.43344 113.18725 0.0012915 0.0018181 0.0052604 0.0001736 0.0002638 0.0001506
I15 657740.27178 6860673.80036 114.27733 0.0012929 0.0018089 0.0052594 0.0001783 0.0001785 0.0001131
I16 657740.27772 6860673.80169 112.96972 0.0012926 0.0018086 0.0052596 0.0001763 0.0001757 0.0001198
C24 657742.44213 6860673.18504 113.07899 0.0012909 0.0018114 0.0052603 0.0001634 0.0002035 0.0001491
