* Cartésiennes géocentriques après calcul avec précisions finales (facteur appliqué 1.08045)
* Projet /home/YMeneroux/Bureau/KitYann/Recherches/Verniquet/verniquet/micro/reseau/all_compensation/micro.comp
* projet calculé le 2024-Apr-17 11:01:59.944697 avec Comp3D v5.21rc3-342-g36695a8f

*name X Y Z sigma_X sigma_Y sigma_Z
CHSL_E 4201850.0704721929505467 178802.3257117527828086 4779036.7899785628542304 0.0024964449535408 0.0026229688532950 0.0021602082092764
CHSL_O 4201851.0588571354746819 178768.8730236868141219 4779037.1698829224333167 0.0024587361527442 0.0028828449207501 0.0021232560372717
VITRY 4206116.1872099591419101 177504.5832466034335084 4775355.7665068823844194 0.0095925245195140 0.0117679571784402 0.0083750656008091
PTHN 4201804.0127260573208332 172151.6872416941041593 4779319.5692873038351536 0.0224407415905091 0.0696163507664951 0.0190062215906963
IGNF 4201612.4875820903107524 177885.3805573697027285 4779278.2579604163765907 0.0024345583467518 0.0030974757111935 0.0021230652536781
TFLE 4200947.4450187329202890 168323.6697208451223560 4780202.8731523398309946 0.0576326248727429 0.1079632611307751 0.0504462467319359
CDTN 4201464.6434906320646405 175983.8204493645462207 4779477.2825560634955764 0.0233482953037524 0.0997281212908953 0.0194305588338196
BCTR 4205037.5729475300759077 172733.6931102817470673 4776472.9786177808418870 0.0516761155519017 0.0842495656584149 0.0430970997561695
EGLM 4200919.2681479454040527 177774.1240340211952571 4779887.6321997484192252 0.0084821956402484 0.0081492194647503 0.0072955340538597
TUBE 4201729.7203143388032913 178491.7682563801354263 4779153.4249433120712638 0.0091507702547222 0.0103933562422521 0.0078050543639815
M1 4202027.3876876430585980 178650.6752480875584297 4778887.5597243793308735 0.0068129601695355 0.0077449454670849 0.0058163121394998
M2 4201680.1296326434239745 178965.6611545302148443 4779179.1280180662870407 0.0047187085401274 0.0054522010799832 0.0039875969751055
M3 4202032.7264346517622471 178661.3122361294808798 4778882.5018424065783620 0.0058712028615898 0.0118225475356059 0.0050889261041115
M4 4201694.1330381063744426 179595.3328348655777518 4779143.4363615978509188 0.0075456714153794 0.0205943863545158 0.0061078676939245
M5 4200342.3637988083064556 177863.4022908732586075 4780387.9044349500909448 0.0080896097934755 0.0101764223755422 0.0070538726379971
M6 4200226.5990975825116038 178225.5906790074659511 4780475.5399536648765206 0.0077344835605791 0.0094818793752513 0.0068138477179523
M7 4200628.2242987435311079 179772.9872093238518573 4780067.4391258945688605 0.0081267182307472 0.0102039132784318 0.0070889292153223
M8 4200641.2958720391616225 179779.6166012938483618 4780055.7812943048775196 0.0079770911002744 0.0107588454426119 0.0069587446749164
M9 4201123.7318312721326947 181220.6221733821148518 4779580.5644658096134663 0.0080612519431150 0.0107521338133169 0.0070367395872577
S0 4201687.7641378659754992 177854.8940255806082860 4779213.6490087741985917 0.0070769218291268 0.0052261073274914 0.0061120421834137
S1 4200308.8484405167400837 177950.8774011917994358 4780413.9220744734629989 0.0056732125090217 0.0059034004838177 0.0049042593334594
S2 4201123.5971487294882536 181219.6497960782726295 4779580.7186770215630531 0.0075309623384097 0.0104851125786915 0.0065584161189198
S3 4200628.8190221488475800 179772.9866891491983552 4780066.9200128484517336 0.0076274539105598 0.0083837890647439 0.0066280474746717
S4 4200232.4802132900804281 178219.8985137291892897 4780470.6180581394582987 0.0062798943126131 0.0073793897175998 0.0055439776786163
S5 4203079.6717958766967058 178788.3261628093896434 4777963.1731859594583511 0.0499169480357117 0.0305554682833947 0.0439705898614121
BAT4 4200066.6258598398417234 178091.1593250322621316 4780620.1264716740697622 0.0051473173439331 0.0047344854676988 0.0044761816387142
GYRO 4200313.4676911234855652 177970.2596138959634118 4780409.1738258758559823 0.0035454428023357 0.0041279841728810 0.0030868058293851
RD3T 4201068.0885199801996350 179438.9056755768251605 4779695.9170503765344620 0.0086200226121251 0.0089266447899147 0.0073829065906852
AUXL 4201068.7464110655710101 179441.5984367186902091 4779695.2422588020563126 0.0090545563778544 0.0093584740720862 0.0077496240788804
ANFN 4201743.8878223877400160 179407.9972950173250865 4779106.9748359899967909 0.0055392706820126 0.0099487197245579 0.0047180593687225
NDVC 4201409.1959131704643369 178960.7538383771607187 4779415.8975408859550953 0.0104376662995218 0.0076202456882246 0.0090823459534964
MRVC 4201404.1544020716100931 179009.0657566932495683 4779418.5025498084723949 0.0066803976902653 0.0072971361359058 0.0057638067422439
EGLV 4201436.1768398480489850 177479.0284489611804020 4779447.2204538956284523 0.0089796168982917 0.0115548663570212 0.0076241769175543
GLOB 4201252.5796936927363276 177700.2836671143304557 4779599.3614631481468678 0.0086946321748768 0.0140632517377696 0.0074592022053765
IMBM 4201360.0634907679632306 177130.6470233544241637 4779526.5172380292788148 0.0113242816936459 0.0242196342388849 0.0093896609278499
IMJR 4201272.3998776888474822 179326.3910122104862239 4779521.7286045504733920 0.0075248225176481 0.0071003515253313 0.0065574179549984
IMJG 4201275.1105328667908907 179121.9296151730814017 4779526.9774831356480718 0.0094250064110202 0.0117218587224818 0.0079531291785496
MTYA 4201147.0600439254194498 179051.7245015329099260 4779641.3921267371624708 0.0068326142975054 0.0083730244409311 0.0060337986298814
