* Géographiques dms après calcul avec précisions finales (facteur appliqué 1.08045)
* Projet /home/YMeneroux/Bureau/KitYann/Recherches/Verniquet/verniquet/micro/reseau/all_compensation/micro.comp
* projet calculé le 2024-Apr-17 11:01:59.944697 avec Comp3D v5.21rc3-342-g36695a8f

*name lon lat up sigma_lon sigma_lat sigma_up
CHSL_E 2'26"11.943246192861 48'50"32.373496423537 0.000000000000000 0'0"0.000129770789 0'0"0.000106275058 0.000000000000000
CHSL_O 2'26"10.301992831057 48'50"32.392183095049 0.000000000000000 0'0"0.000142587805 0'0"0.000104457134 0.000000000000000
VITRY 2'24"59.530521275407 48'47"31.401949105355 0.000000000000000 0'0"0.000576916015 0'0"0.000412028981 0.000000000000000
PTHN 2'20"46.130696436510 48'50"46.283328513940 0.000000000000000 0'0"0.003425310364 0'0"0.000935042251 0.000000000000000
IGNF 2'25"27.505113813901 48'50"44.251169983067 0.000000000000000 0'0"0.000152117525 0'0"0.000104447688 0.000000000000000
TFLE 2'17"40.204985955078 48'51"29.739642947581 0.000000000000000 0'0"0.005294187033 0'0"0.002481780643 0.000000000000000
CDTN 2'23"54.622794167113 48'50"54.041660568484 0.000000000000000 0'0"0.004904176509 0'0"0.000955917859 0.000000000000000
BCTR 2'21"8.143625467524 48'48"26.308860655861 0.000000000000000 0'0"0.004197799067 0'0"0.002120246898 0.000000000000000
EGLM 2'25"23.490658854404 48'51"14.229394039406 0.000000000000000 0'0"0.000406474650 0'0"0.000358915281 0.000000000000000
TUBE 2'25"56.976302621864 48'50"38.110607575049 0.000000000000000 0'0"0.000519014320 0'0"0.000383982606 0.000000000000000
M1 2'26"4.142914116928 48'50"25.033332340948 0.000000000000000 0'0"0.000386470689 0'0"0.000286143312 0.000000000000000
M2 2'26"20.301405540869 48'50"39.374930287826 0.000000000000000 0'0"0.000273825542 0'0"0.000196176441 0.000000000000000
M3 2'26"4.652987278836 48'50"24.784556317934 0.000000000000000 0'0"0.000580963176 0'0"0.000250358329 0.000000000000000
M4 2'26"51.127131429375 48'50"37.619276094332 0.000000000000000 0'0"0.001019653322 0'0"0.000300486697 0.000000000000000
M5 2'25"29.063689717921 48'51"38.844029685418 0.000000000000000 0'0"0.000499962352 0'0"0.000347025953 0.000000000000000
M6 2'25"47.058441008564 48'51"43.156257805731 0.000000000000000 0'0"0.000462679271 0'0"0.000335217494 0.000000000000000
M7 2'27"2.067721254025 48'51"23.075957428679 0.000000000000000 0'0"0.000501151491 0'0"0.000348750881 0.000000000000000
M8 2'27"2.365231194615 48'51"22.502375004089 0.000000000000000 0'0"0.000528311461 0'0"0.000342346260 0.000000000000000
M9 2'28"11.972805098531 48'50"59.122549731836 0.000000000000000 0'0"0.000527732618 0'0"0.000346183733 0.000000000000000
S0 2'25"25.855004940096 48'50"41.073016158475 0.000000000000000 0'0"0.000261719554 0'0"0.000300692018 0.000000000000000
S1 2'25"33.421210670224 48'51"40.124253305870 0.000000000000000 0'0"0.000292484824 0'0"0.000241272454 0.000000000000000
S2 2'28"11.925437151801 48'50"59.130136162392 0.000000000000000 0'0"0.000515221093 0'0"0.000322651839 0.000000000000000
S3 2'27"2.066448256169 48'51"23.050416266406 0.000000000000000 0'0"0.000413186898 0'0"0.000326077088 0.000000000000000
S4 2'25"46.767179966553 48'51"42.914066349285 0.000000000000000 0'0"0.000359348066 0'0"0.000272744329 0.000000000000000
S5 2'26"8.694343525158 48'49"39.572280763554 0.000000000000000 0'0"0.001465530589 0'0"0.002163212292 0.000000000000000
BAT4 2'25"40.801150456363 48'51"50.271063047586 0.000000000000000 0'0"0.000233626008 0'0"0.000220212417 0.000000000000000
GYRO 2'25"34.361714533783 48'51"39.890610376610 0.000000000000000 0'0"0.000203078649 0'0"0.000151860083 0.000000000000000
RD3T 2'26"44.772280526284 48'51"4.797416046582 0.000000000000000 0'0"0.000445845666 0'0"0.000363213876 0.000000000000000
AUXL 2'26"44.902872257741 48'51"4.764218598950 0.000000000000000 0'0"0.000467730557 0'0"0.000381255129 0.000000000000000
ANFN 2'26"41.843319946546 48'50"35.825769933493 0.000000000000000 0'0"0.000491704420 0'0"0.000232112788 0.000000000000000
NDVC 2'26"20.626447279857 48'50"51.021930273137 0.000000000000000 0'0"0.000376723420 0'0"0.000446820806 0.000000000000000
MRVC 2'26"23.004511810243 48'50"51.150078189991 0.000000000000000 0'0"0.000361675272 0'0"0.000283559862 0.000000000000000
EGLV 2'25"7.957135501159 48'50"52.562800866420 0.000000000000000 0'0"0.000576264103 0'0"0.000375083777 0.000000000000000
GLOB 2'25"19.180603122341 48'51"0.047271567581 0.000000000000000 0'0"0.000694583636 0'0"0.000366967445 0.000000000000000
IMBM 2'24"51.041405990620 48'50"56.463712347846 0.000000000000000 0'0"0.001200875241 0'0"0.000461939546 0.000000000000000
IMJR 2'26"38.830672496604 48'50"56.228138815044 0.000000000000000 0'0"0.000349357877 0'0"0.000322602779 0.000000000000000
IMJG 2'26"28.805048758462 48'50"56.486353805553 0.000000000000000 0'0"0.000587387721 0'0"0.000391267044 0.000000000000000
MTYA 2'26"25.631979894639 48'51"2.114995018089 0.000000000000000 0'0"0.000407803627 0'0"0.000296842395 0.000000000000000
